step,cx,cy,cz,ex,ey,ez,peak_x,peak_y,peak_z,n_core_points,omega_x,omega_y,omega_z
231,-5.1,18.0,15.5,4.0,37.5,13.5,-6,0,22,4,-0.0034684695212874486,-0.009505144174703956,0.006241585738985521
232,-3.9,28.9,11.6,5.5,37.5,13.5,-6,0,22,5,-0.0005248530655599801,0.0047677205697739915,0.0051435861258044705
233,-4.2,8.3,15.3,5.5,59.0,13.5,-6,0,22,8,0.0018439576337134593,-0.0060758236462250806,0.010737943345195098
234,-3.2,14.1,16.9,5.5,37.5,13.5,-2,0,22,5,-0.0021693141278696796,0.0014692033376138742,-0.0005121804326475029
235,-4.2,0.0,22.0,5.5,0.0,0.0,-2,0,22,4,-0.019900473919799204,0.0530995068458378,0.007019876708671334
236,-2.3,-16.2,22.0,7.5,21.5,0.0,-2,-43,22,8,0.0020988708650085284,0.001987160694531292,0.0022488337378352595
237,-2.3,-16.1,22.0,7.5,21.5,0.0,-2,-43,22,8,-0.00027139269650561205,0.00013282488804688955,0.0026825684065389377
238,-0.4,0.0,22.0,5.5,0.0,0.0,1,0,22,4,-0.017240586148750674,0.05370415384710614,0.007633126260713156
239,1.4,0.0,22.0,7.5,0.0,0.0,1,0,22,5,-0.013416078918620006,0.05444564297475048,0.007233854658586829
240,3.2,0.0,22.0,5.5,0.0,0.0,5,0,22,4,-0.011844229820447657,0.0534037753790134,0.006715361925819733
241,4.0,21.2,11.2,5.5,37.5,13.5,5,0,22,7,0.002199854430808708,-0.010836393851151031,0.0060304897694319895
242,3.3,6.8,9.8,5.5,59.0,13.5,5,0,22,10,0.0005717240827300954,-0.00031251634247145933,-0.0006348827317587406
243,3.8,10.3,13.0,5.5,59.0,13.5,1,-43,22,9,-0.0010537572338198244,-0.013476022394465551,0.0033317961669565867
244,5.6,20.7,14.6,7.5,37.5,13.5,5,0,22,7,0.0004656915520341088,-0.009328439093221286,0.0015393442431653167
245,5.0,6.4,16.3,7.5,59.0,13.5,5,0,22,9,-0.00031211663041062467,-0.00027546917706653524,0.007791226022868339
246,3.2,-13.6,22.0,5.5,21.5,0.0,5,0,22,6,0.003966129662071537,0.008275331450425907,0.009022282379909836
247,3.3,0.0,22.0,5.5,0.0,0.0,5,0,22,4,-0.004869474847864964,0.058480240382737574,0.004039011287649065
248,3.3,0.0,22.0,5.5,0.0,0.0,5,0,22,4,-0.004353705640812082,0.061051512260266935,0.004005861642312746
249,3.3,0.0,22.0,5.5,0.0,0.0,5,0,22,4,-0.005406284627908401,0.05867110927098292,0.00341088347999697
250,3.7,14.2,16.9,5.5,37.5,13.5,5,0,22,5,-0.0007656233685943873,0.0010617248961591677,0.0004404226145072095
251,5.2,0.0,22.0,7.5,0.0,0.0,5,0,22,5,-0.000533993506105408,0.0588720403286712,0.003510863941718593
252,6.1,-18.0,22.0,6.0,21.5,0.0,5,0,22,7,0.002675818478636375,0.0049645354033369124,0.0011584466714519522
253,7.0,0.0,22.0,6.0,0.0,0.0,5,0,22,4,0.008136274501399332,0.058305180501722814,0.0018215813007914593
254,7.0,0.0,22.0,6.0,0.0,0.0,9,0,22,4,0.007677313383526252,0.060629405793888175,0.0019065625044308678
255,7.1,0.0,22.0,6.0,0.0,0.0,9,0,22,4,0.005645185293186896,0.06441978132652529,0.0007670375072315178
256,7.0,0.0,22.0,6.0,0.0,0.0,5,0,22,4,-0.003345074813159544,0.06339168119582053,0.0011237473259875946
257,5.3,0.0,22.0,7.5,0.0,0.0,5,0,22,5,-0.004250862735407576,0.059294340565203475,0.001577300579575248
258,7.9,-18.1,22.0,6.0,21.5,0.0,9,0,22,7,0.003127671231492546,0.005984179753593321,0.001183966639055495
259,7.1,0.0,22.0,6.0,0.0,0.0,9,0,22,4,-0.007007489388596485,0.05815333549225113,-0.0005674460665058599
260,10.9,0.0,22.0,6.0,0.0,0.0,9,0,22,4,0.0031933285710267585,0.05754199594516401,0.0007769253678916977
261,10.6,-8.1,22.0,6.0,21.5,0.0,9,0,22,5,-0.030822534634531336,0.003532050850378736,0.005976013952065894
262,11.1,0.0,22.0,6.0,0.0,0.0,13,0,22,4,0.005861032401608081,0.06347852027721929,0.0033978685909116938
263,13.0,0.0,22.0,4.0,0.0,0.0,13,0,22,3,0.008665288399822425,0.06441303661316143,0.004662697089171909
264,13.0,0.0,22.0,4.0,0.0,0.0,13,0,22,3,0.004329039491332212,0.06348064982421599,0.004272596638581747
265,13.0,0.0,22.0,4.0,0.0,0.0,13,0,22,3,0.003693775830322208,0.061754656170192025,0.0040331291295829024
266,13.0,0.0,22.0,4.0,0.0,0.0,13,0,22,3,0.005961845399414108,0.06388377357022211,0.0035410872646902997
267,13.0,0.0,22.0,4.0,0.0,0.0,13,0,22,3,0.00743414654025302,0.06376839469757982,0.003207186843197507
268,14.9,0.0,22.0,6.0,0.0,0.0,13,0,22,4,0.010582005672219022,0.06146244441371964,0.0034639779871560956
269,15.0,0.0,22.0,6.0,0.0,0.0,17,0,22,4,0.008278376522726671,0.061875637044341764,0.0016652107769087074
270,15.1,0.0,22.0,6.0,0.0,0.0,17,0,22,4,0.007498203921334808,0.0628884835059082,-1.688329379113951e-05
271,17.0,0.0,22.0,4.0,0.0,0.0,17,0,22,3,0.017985107465451223,0.06398438045169261,0.0004177106959583106
272,17.0,0.0,22.0,4.0,0.0,0.0,17,0,22,3,0.01756637431523268,0.0626761191693769,-4.6025235965905866e-05
273,17.0,0.0,22.0,4.0,0.0,0.0,17,0,22,3,0.019412548989855803,0.059611851724004794,0.0010811166453866508
274,18.9,0.0,22.0,6.0,0.0,0.0,17,0,22,4,0.021563338081261787,0.06088288021536139,0.0021771531031863226
275,18.9,0.0,22.0,6.0,0.0,0.0,17,0,22,4,0.01959363676778881,0.060229538365234876,0.0025136397722661727
276,17.1,0.0,22.0,4.0,0.0,0.0,17,0,22,3,0.01651175865534553,0.061099562987779264,0.0017524628733153514
277,18.9,0.0,22.0,6.0,0.0,0.0,17,0,22,4,0.012380990303395744,0.06055531522069612,0.0022892667285747455
278,19.0,0.0,22.0,6.0,0.0,0.0,17,0,22,4,0.011027301476676821,0.06193004203992647,0.0027255152769535486
279,17.9,14.2,16.9,6.0,37.5,13.5,21,0,22,5,0.0015275062023179002,-0.0018019664240179613,-0.002582322832844837
280,17.1,36.6,8.8,8.0,37.5,13.5,21,0,22,6,-0.0009704457928212786,0.003544862066659668,-0.010430532345391364
281,17.6,42.3,6.8,8.0,37.5,13.5,21,0,22,7,0.0020338276735391513,-0.0015205025005455889,0.0001377197273664543
282,17.6,42.5,6.7,8.0,37.5,13.5,21,0,22,7,0.0021333376238050063,-0.0022932979381213607,0.002418344924554398
283,19.8,42.3,6.8,6.0,37.5,13.5,21,0,22,7,0.0013003953026215816,-0.001135981923374552,0.0026148614266174436
284,18.6,46.6,5.2,8.0,37.5,13.5,21,0,22,8,0.00035515018172848397,0.0008718078324679899,0.004195368721071701
285,19.1,36.6,8.8,6.0,37.5,13.5,21,0,22,6,0.0017066789971739481,0.0025837876600730784,-0.011673081368878882
286,21.0,47.2,5.0,8.0,37.5,13.5,21,75,-5,8,0.000169815588315539,0.0005169823954543159,0.0043146194092309595
287,21.5,54.1,2.5,8.0,37.5,13.5,21,75,-5,7,-0.0006274138086169117,-0.0007830687553770873,0.011870640332014876
288,21.6,54.3,2.4,8.0,37.5,13.5,21,75,-5,7,-0.0024537103702214707,-0.0007024663132025083,0.012616696337088732
289,21.6,53.9,2.6,8.0,37.5,13.5,21,75,-5,7,-0.002845548971169981,-0.0013457413352282366,0.012251345818047849
290,23.0,75.0,-5.0,6.0,0.0,0.0,21,75,-5,4,-0.0008440108459461011,0.018190489838814494,-0.06093138618061205
291,23.4,60.7,0.2,6.0,37.5,13.5,25,75,-5,5,-8.799753544010974e-06,-0.011994939203688845,0.0004888401307870289
292,25.0,36.6,8.8,4.0,37.5,13.5,25,0,22,6,-0.0009684951773006906,0.0020481985552851397,-0.012538497899754968
293,25.0,36.5,8.9,4.0,37.5,13.5,25,0,22,6,-0.0005410879201155493,0.0019447797227541105,-0.011459933954829178
294,25.8,28.9,11.6,4.0,37.5,13.5,25,0,22,5,-0.0001790583674218135,0.004940619588712622,0.008326996701254705
295,25.1,37.2,8.6,4.0,37.5,13.5,25,0,22,6,-0.0001710247698934344,0.0019215590681790932,-0.01420985266255424
296,25.1,37.4,8.5,4.0,37.5,13.5,25,0,22,6,0.0018913313701432307,0.0013795572839340035,-0.014427108480547108
297,25.8,44.0,6.2,4.0,37.5,13.5,29,0,22,5,0.0008701320970433921,0.003131455707022837,0.006082305148877608
298,25.8,43.8,6.2,4.0,37.5,13.5,29,0,22,5,0.0019898564468037927,0.0029745857051364133,0.005889774550628784
299,25.8,43.6,6.3,4.0,37.5,13.5,29,0,22,5,0.00405298038633105,0.0034562488014790328,0.007094143870635914
300,27.0,35.8,9.1,2.0,37.5,13.5,29,0,22,4,-0.002552283667399188,0.002143165363205653,-0.006008383363209622
