Reynolds_Number,Source,MSE,wx^2,wy^2,wz^2,wx,wy,wz,1
7.8,Predicted,6.490161425534945e-37,0.5000000000000013,0.5000000000000008,0.5000000000000006,-1.6102392667970695e-17,-1.4338567961722505e-16,-2.0055717655938172e-16,-4.2816349166685975e-20
8.4,Raw,4.411325368036275e-37,0.4999999999999999,0.5000000000000007,0.49999999999999956,-9.028555539063653e-17,7.921913194057171e-17,-8.911724087034813e-17,1.991458100776092e-20
8.4,Encoded,2.935531470235268e-36,0.5000000000000012,0.5000000000000009,0.5000000000000002,-2.399862477794498e-16,2.0779588638774628e-16,8.039935147700102e-17,-3.4850516763581607e-20
8.4,Predicted,1.0261340906546938e-36,0.49999999999999867,0.5000000000000003,0.4999999999999992,8.87222328541382e-17,-1.5212254227510372e-16,-1.8938107043031272e-16,2.2901768158925057e-20
10.4,Raw,1.1630335067138222e-36,0.49999999999999895,0.4999999999999994,0.49999999999999906,1.1860705708860934e-16,3.715002427106709e-17,-3.677460201891017e-17,2.602586805451755e-19
10.4,Encoded,6.33056521944547e-37,0.5000000000000014,0.4999999999999994,0.49999999999999967,7.023584248349382e-17,-2.785250600461412e-17,-9.65883702597638e-17,9.235386942349125e-20
10.4,Predicted,4.942382287660417e-37,0.4999999999999977,0.4999999999999986,0.49999999999999906,8.376711589494417e-18,6.947308601744971e-18,-1.3727475037045672e-16,2.9174861176369744e-19
11.4,Raw,8.840729373102952e-36,0.5000000000000003,0.5000000000000007,0.5,3.593681844887767e-16,-2.9824816956852946e-17,1.6008537671961905e-16,2.38974972093131e-20
11.4,Encoded,4.306292373919973e-36,0.5000000000000011,0.499999999999999,0.4999999999999998,2.3335921208067433e-16,-1.12955902203128e-16,-1.6361588033517785e-17,0.0
11.4,Predicted,3.777247645335138e-36,0.49999999999999994,0.49999999999999906,0.49999999999999944,1.7046491435710214e-16,1.9045367861960472e-16,-1.4914632234523645e-16,1.214789441473416e-19
