vx,vy,vz,px,py,pz,distance,x,y,z,time
-0.5,0.8181818181818183,0.47368421052631593,-0.6496018202502843,-0.6496,-0.506740681998414,-1.0,-121.0,87.0,14.0,303.0
0.5,0.8181818181818183,0.5789473684210529,-0.4084186575654152,0.27520000000000006,0.5226011102299764,-1.0,125.0,83.0,14.0,303.0
-0.5,1.0000000000000002,0.47368421052631593,-0.7087599544937428,-0.7072,-0.5321173671689136,-1.0,-121.0,87.0,18.0,303.0
0.5,0.8181818181818183,0.5789473684210529,-0.4448236632536973,0.2992,0.45915939730372735,-1.0,121.0,87.0,18.0,303.0
0.25,0.8181818181818183,0.47368421052631593,-0.4175199089874857,0.2928,0.42585249801744657,-1.0,121.0,87.0,22.0,303.0
-0.75,0.8181818181818183,0.3684210526315792,-0.8589306029579067,-0.5711999999999999,-0.3370340999206979,-1.0,-125.0,79.0,22.0,303.0
0.0,-0.6363636363636364,-0.894736842105263,0.7929465301478955,0.6912,-0.6859635210150675,-1.0,-125.0,-80.0,22.0,303.0
-0.75,0.8181818181818183,0.26315789473684226,-0.9294653014789533,-0.6576,-0.33227597145122917,-1.0,-125.0,79.0,26.0,303.0
0.25,0.6363636363636366,0.3684210526315792,-0.39931740614334466,0.24960000000000004,0.4321966693100715,-1.0,125.0,79.0,26.0,303.0
-0.25,-0.2727272727272727,-0.05263157894736825,0.32423208191126285,-0.36639999999999995,0.27676447264076137,-1.0,125.0,-80.0,26.0,303.0
-0.75,0.8181818181818183,0.26315789473684226,-0.881683731513083,-0.8464,-0.49088025376685174,-1.0,-121.0,83.0,30.0,303.0
0.25,-0.45454545454545453,-0.894736842105263,0.9180887372013653,0.952,-0.647898493259318,-1.0,-121.0,-83.0,30.0,303.0
-0.25,-0.2727272727272727,-0.05263157894736825,0.16268486916951086,-0.4112,0.2973830293417923,-1.0,121.0,-83.0,30.0,303.0
-0.5,0.8181818181818183,0.15789473684210542,-0.7656427758816837,-1.0,-0.6605868358445679,-1.0,-117.0,87.0,34.0,303.0
0.0,0.6363636363636366,0.15789473684210542,-0.32423208191126274,0.23680000000000007,0.4575733544805711,-1.0,121.0,83.0,34.0,303.0
-0.75,0.8181818181818183,0.052631578947368585,-1.0,-0.8111999999999999,-0.29579698651863595,-1.0,-125.0,75.0,34.0,303.0
0.25,-0.45454545454545453,-1.0,1.0,1.0,-0.38937351308485335,-1.0,-125.0,-76.0,34.0,303.0
-0.25,-0.2727272727272727,-0.263157894736842,0.2969283276450513,-0.41759999999999997,0.20063441712926258,-1.0,125.0,-76.0,34.0,303.0
