lag,mean,ci_low,ci_high,event_122,event_175,event_228,event_292,event_315,event_346,event_370,event_394,event_433,event_470,event_507,event_586,event_663,event_835,event_870,event_889,event_904,event_962
16,0.5239988096462425,-0.39748405581015006,0.9984905297547876,,,,,,,,,-0.862332234864895,,,,0.9989924517683687,0.9979759008547867,0.9613591208267092,,,
17,0.9637095416133308,0.9301037449114168,0.9973153383152447,,,,,,,,,,,,,0.9973153383152447,,0.9301037449114168,,,
18,-0.05550469351062202,-0.6172863308131078,0.6813653845452541,,,,,,,,,-0.8928477148485041,0.9901130217272811,,-0.42988489249513506,-0.8731467678201738,,0.9282428858834216,,,
19,-0.16354747818313514,-0.8315480475617036,0.4349270961898425,,,,,,,,,-0.8526668456527887,0.8106578888349286,,0.7016304312462128,-0.9750476811589123,,-0.5023111841851162,,,
20,0.3266683061655934,-0.39526799619387454,0.9575990980740898,,,,,,,,,-0.8349218020819871,,,,0.22639683059618096,0.9915047746777167,0.923693421470463,,,
21,-0.20041580050498042,-0.9661381161541484,0.8854871101951928,,,,,,,,,-0.5205963955559856,,,,-0.9661381161541484,,0.8854871101951928,,,
22,-0.05334045004151988,-0.665463979175496,0.5587830790924563,,,,,,,,,-0.665463979175496,,,,0.5587830790924563,,,,,
23,-0.004647786459725911,-0.8248253035321357,0.8155297306126839,,,,,,,,,-0.8248253035321357,,,,0.8155297306126839,,,,,
24,-0.8708698589699658,-0.8708698589699658,-0.8708698589699658,,,,,,,,,-0.8708698589699658,,,,,,,,,
25,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,
29,-0.8326915833284492,-0.8326915833284492,-0.8326915833284492,,,,,,,,,-0.8326915833284492,,,,,,,,,
30,-0.46893903172281454,-0.9720341599711108,0.03415609652548171,,,,,,,,,,-0.9720341599711108,,,0.03415609652548171,,,,,
31,-0.9508569093743959,-0.9508569093743959,-0.9508569093743959,,,,,,,,,-0.9508569093743959,,,,,,,,,
32,-0.958378697981773,-0.958378697981773,-0.958378697981773,,,,,,,,,-0.958378697981773,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,
