Reynolds,TemporalContext,KE_1,KE_u,KE_v,KE_w,KE_u^2,KE_u v,KE_u w,KE_v^2,KE_v w,KE_w^2,KE_MSE,Helicity_1,Helicity_u,Helicity_v,Helicity_w,Helicity_wx,Helicity_wy,Helicity_wz,Helicity_u^2,Helicity_u v,Helicity_u w,Helicity_u wx,Helicity_u wy,Helicity_u wz,Helicity_v^2,Helicity_v w,Helicity_v wx,Helicity_v wy,Helicity_v wz,Helicity_w^2,Helicity_w wx,Helicity_w wy,Helicity_w wz,Helicity_wx^2,Helicity_wx wy,Helicity_wx wz,Helicity_wy^2,Helicity_wy wz,Helicity_wz^2,Helicity_MSE,Enstrophy_1,Enstrophy_wx,Enstrophy_wy,Enstrophy_wz,Enstrophy_wx^2,Enstrophy_wx wy,Enstrophy_wx wz,Enstrophy_wy^2,Enstrophy_wy wz,Enstrophy_wz^2,Enstrophy_MSE
4.6,4,4.5360968485606385e-19,1.5514048681348512e-16,-2.0976771226719396e-16,-1.2461268095312182e-16,0.499999999999998,3.5301449193477825e-15,3.3469556015911134e-15,0.49999999999999883,-2.5067526831382037e-15,0.4999999999999984,1.7621698504719977e-36,-2.6622990292821715e-18,-9.701457754468845e-17,1.9286129271666112e-14,1.0546586415690482e-14,-9.731225782871007e-15,2.838572986869323e-15,-4.647309560342977e-16,1.431538690450595e-15,-2.41061726143827e-13,-1.3926117693798848e-13,1.0000000000001,-4.553283004504295e-14,1.1460922813571224e-14,2.02427637746843e-13,-3.1715656979599944e-13,-4.278019126874839e-14,0.999999999999817,-1.138393469519307e-13,1.7279402359239706e-14,-5.39157503795766e-15,9.735783477892401e-14,0.9999999999998238,3.054381617657263e-14,1.7333319646029298e-13,7.152251248889101e-13,-1.8203730337834177e-14,-1.59160755892594e-13,4.2936556955367127e-14,2.397015588337903e-35,1.5876338969962234e-18,1.4899936934305014e-15,-8.55718320153159e-17,7.013070015215478e-17,0.5000000000000089,-7.174010253821083e-16,1.3614334414744795e-15,0.4999999999999988,-3.8887450313942295e-17,0.49999999999999906,3.143980860100103e-36
4.6,3,-9.072193697121277e-19,8.666848845758154e-17,-6.8008277572197405e-18,-1.8521121099308847e-16,0.4999999999999992,2.4685822813231994e-16,-4.1573228731059295e-16,0.4999999999999987,-1.3706166182669022e-15,0.4999999999999993,5.697966064071339e-37,-1.072893219454479e-18,-1.0325714382841349e-17,7.289325344998473e-15,3.4096287511333624e-15,-2.25810221214229e-15,2.2290314935149984e-16,-1.174756867515071e-16,1.1097179913273992e-16,-9.500214509513112e-14,-4.1401600338447046e-14,1.0000000000000027,-7.302822477438151e-15,5.167103762108114e-15,4.438113471127042e-14,-9.339417770031652e-14,-1.7605321510347186e-14,0.9999999999999127,-6.120497756168176e-14,-7.80768507300626e-15,-6.354140138102706e-15,6.993669979827391e-14,0.9999999999998626,-2.388338843577872e-15,4.843944258351971e-14,2.540895768854044e-13,-1.4138892776207122e-15,-1.0870789189315e-14,1.6042740069967146e-14,4.092739291751834e-36,1.7081239695361155e-18,7.615388096156816e-16,-6.00130238202055e-19,2.8892002949190215e-17,0.4999999999999727,6.179924639247254e-16,-3.493987895759392e-15,0.4999999999999996,-1.0131359656024071e-16,0.49999999999999944,2.806817930569339e-36
4.6,2,2.721658109136383e-18,2.6606044439681856e-16,2.7561349499908108e-17,-2.235770166832436e-16,0.499999999999996,2.1482842828208217e-15,3.588102154554813e-15,0.5000000000000006,-3.708028518723345e-15,0.49999999999999345,1.6354441916824955e-36,-3.9425060500185237e-19,2.5578058157329547e-17,1.888528911682692e-15,7.775353556235556e-16,-9.047330276536853e-16,-1.9899689707679735e-16,-4.072919684256447e-17,-3.41148060249285e-16,-2.555517037771558e-14,-8.485905977307954e-15,0.999999999999996,8.320026092772883e-16,1.3075528442382554e-15,4.947597269559933e-15,-2.569828342580378e-14,-5.1774731424693685e-15,0.9999999999999578,-2.7095612440444057e-14,-4.7091830437203816e-15,-9.077946115265548e-16,3.5268508893395194e-14,0.9999999999999514,1.5611974801104897e-15,1.080251267170529e-14,9.872283821355274e-14,1.0511876803614752e-15,1.1848575844468104e-14,5.4711275626804514e-15,7.593490049807164e-37,1.8144387394242554e-18,-5.292531586287014e-17,7.427479974167302e-18,-4.427833331363934e-18,0.4999999999999831,1.3840430398352978e-15,-2.957927333811982e-15,0.4999999999999997,9.912277514453137e-17,0.5000000000000007,3.389645695705596e-36
4.6,1,4.536096848560639e-18,-6.043241808057794e-18,4.532622829094661e-16,-9.323863527672307e-17,0.49999999999999956,-6.879114766286534e-15,1.274245067256213e-15,0.5000000000000002,4.71868289041693e-15,0.499999999999991,4.891797972533046e-36,-9.479733648359147e-20,-2.117210568861178e-17,-2.2882954493874586e-17,3.3282438711017344e-16,-2.029996112269743e-16,-2.0340958153412308e-16,-7.216491017456213e-18,2.3382927124061263e-16,2.0739565471526314e-16,-2.4369110135055076e-15,0.9999999999999984,2.275822304291851e-15,-5.626517720817806e-17,-2.8230730468020386e-16,-6.468567959791639e-15,-8.394511049579676e-15,0.9999999999999876,-7.677180196358443e-15,-3.756460583814583e-15,2.5939271321549937e-15,1.1700805026758277e-14,0.9999999999999989,-5.983371429929302e-15,2.2631570233393677e-15,2.5879229565196762e-14,3.465755176303008e-16,1.1292544082635707e-14,1.1703826924352901e-15,6.700273281432017e-38,2.1546460030663035e-18,-1.6123171641640932e-16,2.349008058385343e-17,7.827533730644e-19,0.4999999999999835,1.085254270955354e-15,2.440232634937937e-15,0.49999999999999983,-2.0618211131781143e-17,0.4999999999999996,4.508141950348732e-36
5.2,7,2.721658109136383e-18,-1.2036366527740565e-16,-2.6460250407602418e-16,1.1820580076474376e-15,0.5000000000000007,5.285326688434655e-16,-5.489184306080849e-16,0.5000000000000003,-6.88113893443541e-16,0.5000000000000003,1.3164331093978006e-35,6.015644062837253e-19,-5.069232574030855e-18,7.055077634593689e-17,-6.759819733470778e-17,-9.568653676674572e-19,-1.5273082650034228e-17,-3.848414234495236e-18,-4.473551359776071e-17,-8.057246984497418e-16,8.671933727070511e-16,0.9999999999999999,-1.0564082270987787e-17,4.242885265312484e-17,-1.454298180580071e-16,1.0055428362384345e-17,-2.374134225880881e-16,0.9999999999999994,-2.4692560516401557e-16,8.275955473924015e-17,-5.795233165341706e-16,-6.06748838291036e-16,0.9999999999999989,-2.721106387931322e-15,7.681987810958715e-16,-1.369230563357864e-15,5.3083213951925526e-17,9.83400591675006e-16,8.087174509014771e-17,7.871966227209185e-38,9.27773558557168e-18,3.079299387972439e-16,1.3458531992665964e-17,3.098449467058377e-17,0.49999999999999567,6.930831928607562e-16,4.0147741211450787e-16,0.4999999999999997,-1.9500544950589867e-16,0.5000000000000001,8.575688658223896e-35
5.2,6,3.628877478848511e-18,-1.4125496710807834e-16,-4.620577783439813e-17,4.490775780167625e-16,0.5000000000000013,-1.3846474095152953e-15,-3.998809635382279e-16,0.500000000000001,8.667512396126457e-16,0.49999999999999967,7.865296332100262e-36,5.537227598340623e-19,-5.217781209820278e-18,-3.067420407659407e-17,-3.303928676185476e-17,-1.2824564062860838e-16,-1.734179409936208e-17,-6.32647334082551e-18,-2.6727413858334686e-17,4.632006315517427e-16,5.672558800562107e-17,1.0000000000000009,3.2318202255699874e-16,8.093159526560747e-17,-2.7766432393254667e-16,2.3888054458873333e-16,1.0648890803056353e-15,0.9999999999999996,-9.284713637518836e-16,-2.1807290708332976e-16,2.348378755980709e-16,4.519704482052521e-16,0.9999999999999999,-3.2280240345576553e-15,-8.16578040739865e-16,1.32167812018771e-15,-3.311157330491125e-16,4.4071413057249215e-16,1.0730062698849983e-16,9.762952558113691e-38,1.0362146238430708e-17,3.0039654301871977e-15,-1.571321444824695e-17,9.42956607681245e-17,0.5000000000000049,-3.284541504686074e-16,-3.4025334907058503e-16,0.5000000000000002,-6.095180151168817e-16,0.5000000000000006,1.0273857506907188e-34
5.2,5,-1.3608290545681915e-18,-1.1688902178251073e-16,-1.1757057738392782e-16,6.415441212852771e-16,0.5000000000000012,-6.128918209350405e-16,-4.1661369884082845e-17,0.5000000000000002,1.3545063666601549e-15,0.4999999999999994,2.7092633046387867e-36,-1.3537414032423155e-18,-8.630672970405901e-16,-5.832186109967016e-15,-3.0012463123225567e-15,-5.261980374752318e-15,-1.44648747787195e-15,7.792045617644361e-16,1.064550837190415e-14,8.970376900740597e-14,3.6167032277067144e-14,1.0000000000000573,2.9732919036927016e-14,-1.5200406385357874e-14,7.792023033530891e-14,8.302605221888119e-15,1.7952671400911027e-14,1.0000000000002158,-1.7902912478648582e-13,1.042044891835826e-13,3.505690394043969e-14,-2.7510244681906217e-13,1.0000000000002247,8.794376910050238e-15,-2.155369932294764e-13,7.226852916454101e-13,1.5592862003330973e-14,1.3568802963815305e-13,4.441612580866449e-15,6.665711468265762e-35,1.0362146238430708e-17,1.3874932515047685e-16,-1.7210589938803134e-17,-5.855675444453384e-18,0.5000000000000048,1.066558199122534e-15,-1.7524680587934365e-15,0.4999999999999987,-4.709314832214049e-16,0.49999999999999967,1.055928428797297e-34
5.2,4,-1.8144387394242554e-18,-2.48652897417755e-16,-7.005135984115563e-17,1.920175735437251e-16,0.5000000000000029,-1.6932991512283263e-15,1.4446122223588785e-15,0.5000000000000007,-7.895846581578841e-17,0.49999999999999895,3.3958055893070736e-36,8.558338975995267e-19,2.918571382653405e-16,1.6927849299738052e-15,4.494033447190003e-16,2.7606571958813334e-15,1.508955959136018e-16,-8.192065755439615e-17,-3.627883604611092e-15,-2.5361270662387832e-14,-5.876669580731578e-15,0.9999999999999668,-4.577086635436642e-15,2.0170401432008592e-15,-3.351457103498828e-14,-5.404743385267455e-15,-1.7493164725743618e-15,0.9999999999999638,4.1807640194898376e-14,-1.9141359167076328e-14,-5.8802939688648055e-15,7.18190552842334e-14,0.9999999999999483,-2.1479642480224972e-15,5.0355621223736186e-14,-1.6998851297264528e-13,-2.979506527907584e-15,-1.8274992575845216e-14,-1.2875358022360012e-15,3.3604715444137125e-36,1.1276453259468713e-17,1.1036220073512731e-15,-1.6038151684010252e-17,2.4156173423505382e-17,0.4999999999999866,-5.763242593879322e-16,8.008686882787568e-16,0.5000000000000006,5.449225952158188e-16,0.5000000000000001,1.216096282896141e-34
5.2,3,-1.8144387394242554e-18,1.4956531857217414e-17,-1.4940258366378596e-16,2.9209635604805976e-16,0.5000000000000003,5.104929490612316e-16,2.846205305501261e-16,0.4999999999999989,-1.9256790190562018e-16,0.4999999999999993,6.97895349765973e-36,3.118566583385439e-19,8.122362912068508e-17,6.385277513233892e-16,-3.899670572883731e-16,6.781685708826216e-16,5.86355915532947e-17,-1.459217256683742e-17,-8.09883337310855e-16,-6.734975043271035e-15,-1.306129700130904e-15,0.9999999999999913,-1.2819297725843181e-15,3.4798455597238654e-16,-1.0930699710372365e-14,-1.9822132320062442e-15,-9.74764350790047e-16,0.9999999999999936,1.0027075463822794e-14,-3.0835831517197804e-15,-2.0480485233185344e-15,1.814025496727471e-14,0.999999999999989,1.0989636790080265e-15,1.584320895473141e-14,-5.376619146331425e-14,-1.3364539656132e-16,-5.2854556100873605e-15,-5.269422245545439e-16,1.1238991225331721e-36,1.1871815970842296e-17,2.2405271994115923e-16,5.740339676924288e-17,2.416512740470142e-17,0.49999999999999883,-1.6728852658872645e-15,2.0749116331431087e-15,0.5000000000000002,2.5902442183339576e-17,0.4999999999999997,1.383059195237259e-34
5.2,2,1.8144387394242554e-18,-5.0044413065545855e-17,3.4231774453178144e-16,9.754448930466559e-17,0.5000000000000006,-4.856083155173838e-15,-1.8610895963706973e-18,0.5000000000000017,7.901628542251586e-16,0.4999999999999969,3.0053807134698603e-36,2.0111210637173144e-19,-2.4784660667587243e-17,-1.0077287311324942e-16,3.3877016085298873e-18,2.7175052908321334e-17,-2.801759646106625e-17,1.586578025925431e-17,3.1892351185319127e-16,1.6947585606821614e-15,-2.0189673671397416e-15,1.0000000000000007,4.849497692307159e-16,-7.929223581548014e-17,7.462841586396411e-16,4.548892108593019e-16,-4.843537700951619e-16,1.0000000000000009,-1.434382200644822e-15,3.335514014415797e-16,1.8516234556316875e-15,-2.7301004944256862e-15,1.000000000000003,-2.1588899683535545e-15,-4.606488551143232e-15,1.5990378208154428e-14,2.9439617856631286e-16,2.4373081593390577e-15,3.3571529062504735e-16,1.0286279427536053e-37,1.2885350110442564e-17,2.893557635358795e-16,5.824083359925058e-17,1.5274980897150396e-17,0.4999999999999686,4.256117139787062e-15,3.244507131842856e-15,0.49999999999999994,7.511196723962622e-16,0.5000000000000002,1.6205535995908668e-34
