Reynolds,HistoryEnd,TargetStep,JumpType,TransitionLabel,RMSE,Divergence_RMSE,KE_1,KE_u,KE_v,KE_w,KE_u^2,KE_u v,KE_u w,KE_v^2,KE_v w,KE_w^2,KE_MSE,Helicity_1,Helicity_u,Helicity_v,Helicity_w,Helicity_wx,Helicity_wy,Helicity_wz,Helicity_u^2,Helicity_u v,Helicity_u w,Helicity_u wx,Helicity_u wy,Helicity_u wz,Helicity_v^2,Helicity_v w,Helicity_v wx,Helicity_v wy,Helicity_v wz,Helicity_w^2,Helicity_w wx,Helicity_w wy,Helicity_w wz,Helicity_wx^2,Helicity_wx wy,Helicity_wx wz,Helicity_wy^2,Helicity_wy wz,Helicity_wz^2,Helicity_MSE,Enstrophy_1,Enstrophy_wx,Enstrophy_wy,Enstrophy_wz,Enstrophy_wx^2,Enstrophy_wx wy,Enstrophy_wx wz,Enstrophy_wy^2,Enstrophy_wy wz,Enstrophy_wz^2,Enstrophy_MSE
10.4,7,8,Jump 1,T1-7->T8,0.0087324616638442,0.0032008052740282,1.0886632436545533e-17,2.63263890812845e-16,1.0866577467620896e-16,1.3322942307143423e-16,0.4999999999999986,6.369520992570386e-16,-7.276086052941626e-16,0.5000000000000006,4.967322786747317e-16,0.5000000000000001,2.932394235737436e-34,1.1340242121401596e-19,-5.18312253535263e-18,1.174960149275318e-16,3.997915525401993e-17,-8.216894229556209e-17,3.756556534814781e-17,-7.589423173371668e-18,2.795323097626507e-17,4.201581295943439e-17,-6.613530205911747e-17,1.0000000000000009,-2.6240234158862693e-16,1.301586767056172e-16,3.0567381160573682e-15,1.5654480708239195e-16,1.0643530567735657e-15,1.0,-1.8214585761673628e-15,-4.5017382452757465e-16,2.339973892199362e-15,1.1840275029159672e-16,1.0000000000000004,-4.735633863574403e-16,2.4216694431880167e-15,-3.11700446446335e-16,-7.104169882901883e-16,-4.854884139855709e-16,7.261390513485716e-17,4.323721938052154e-37,9.213946723638796e-19,9.222256231898131e-17,-7.699248872406784e-17,-7.382244770697753e-18,0.4999999999999957,-2.742686058869558e-15,-2.398089349624026e-15,0.4999999999999992,-6.141816045819901e-16,0.4999999999999995,1.883395918180691e-36
10.4,1,3,Jump 2,T1-1->T3,0.0102314832265779,0.0023722437667088,2.1773264873091066e-17,-6.179719383462411e-16,-2.6063447769588544e-16,-2.0418492013329318e-16,0.5000000000000037,6.571862679482858e-16,1.5997872131878652e-15,0.4999999999999998,4.0974398126608483e-16,0.4999999999999984,3.729624551425375e-34,0.0,2.274978903882593e-17,-1.291422382701535e-16,-1.7085069030627446e-16,2.5096020689440706e-17,1.1088704977424349e-17,2.020085178346561e-18,-1.3304545239639852e-16,7.493187612054574e-16,9.686547098114672e-16,0.9999999999999992,-3.3869605286658217e-17,-1.5212431012998175e-16,-5.835856984510136e-17,9.403679693853769e-16,-2.5722003723885816e-16,0.9999999999999996,4.2373845532108743e-16,-3.664745195415703e-16,1.195281717204197e-15,-1.1196687970944704e-15,1.0000000000000009,-3.199176866766692e-15,-1.918383413222016e-16,-7.918872076291282e-16,-3.506165107076482e-16,2.330597104028358e-16,-3.208143594161111e-18,1.1406060130417287e-37,4.2525907955255993e-19,1.9745000150935322e-16,1.7748257278026703e-16,-6.95595584791744e-18,0.5000000000000011,4.268947708218508e-15,4.0969115092164105e-15,0.5000000000000006,-2.2028428536169304e-16,0.5000000000000006,5.422340766385314e-36
10.4,2,4,Jump 2,T1-2->T4,0.0099057557258822,0.0025650207323289,4.1732091006757866e-17,3.975134576612823e-17,5.2445575117010113e-17,-1.8133572437193984e-15,0.4999999999999994,1.2474607826966843e-16,1.1530657162305346e-14,0.499999999999999,-1.5292791960297562e-15,0.5000000000000008,1.1540490471602433e-33,-1.8427893447277592e-19,-7.337619642935568e-18,-2.3049792661717484e-16,-5.55417948315003e-17,1.067096714226578e-16,-2.9270047201487363e-17,3.263475764240652e-18,4.184281955246222e-17,1.4987600316362664e-15,7.371716636965256e-16,0.9999999999999986,3.8720759805648085e-16,2.1354742560983842e-17,9.02653664627339e-16,-4.556741680467165e-16,-6.835429265286674e-16,1.0000000000000004,-6.918821797883834e-16,-4.881876341818286e-16,-5.907602932463105e-16,-3.229471775099785e-16,0.999999999999999,3.608193942151441e-15,5.524651997405256e-16,-3.5833199521112376e-16,2.075046138718668e-18,4.989717118278378e-16,1.4536577083379995e-16,2.210619909512954e-37,6.804145272840957e-19,2.777860463358498e-16,3.5299042628814116e-17,-2.7022597608045548e-17,0.4999999999999874,4.667856405522757e-15,1.2636896654718565e-15,0.5000000000000002,-2.950148601819505e-16,0.5000000000000001,1.2572766708541074e-36
10.4,3,5,Jump 2,T1-3->T5,0.0099481863048377,0.0027280583748733,2.3587703612515317e-17,-1.9436966957217468e-16,-1.8354312035825592e-17,-5.125933049738937e-16,0.500000000000001,3.6437774143042085e-16,3.4104495506768656e-15,0.4999999999999997,-4.542327460693625e-16,0.4999999999999998,3.963796422056193e-34,2.1262953977627994e-19,2.76902441431365e-17,2.993149993450872e-16,-1.1814249935603884e-16,-1.2685804443344755e-16,7.133156117513665e-17,-7.646163830962268e-18,-1.7078570467553263e-16,-1.9053388713003032e-15,5.705305459327832e-16,1.0000000000000004,-4.0973429827095837e-16,1.0627430747764267e-16,-3.867866470219434e-16,1.3633176410806524e-16,1.167338846089732e-15,1.000000000000001,7.578047996953878e-16,1.848932775816476e-17,-2.1481279703157e-15,1.742136541438413e-17,1.0,5.350241993516227e-16,-1.1892305559016253e-15,-1.797410270800815e-16,-1.2183936149851005e-17,-1.0899137180837014e-15,-2.937728828983979e-16,1.702673668598756e-37,9.355699750156318e-19,5.446682572139538e-17,-1.4808863746106492e-17,1.2820076221215225e-17,0.4999999999999964,1.5849012923264217e-15,-2.900687752870721e-15,0.4999999999999995,1.2374786200521054e-16,0.4999999999999999,9.374938181802755e-37
10.4,4,6,Jump 2,T1-4->T6,0.0099896177122238,0.0027638228185808,2.9031019830788086e-17,5.747757321053314e-18,3.6538553625693874e-17,-1.8822562140280045e-15,0.5000000000000003,7.282879024146533e-17,1.0628894450873452e-14,0.4999999999999993,-1.4222656347626605e-15,0.500000000000003,1.3772555314000739e-33,-4.961355928113198e-20,-1.3633133659008608e-17,-3.247883504395458e-17,1.774503899254863e-17,3.438237774211903e-16,6.847752387411189e-18,1.830244771412157e-17,9.301799586941372e-17,1.738538566574595e-16,-3.826198698595793e-16,0.9999999999999982,-3.8047170589403516e-17,-1.4537140991782754e-16,6.65651835873899e-17,-5.655298902255832e-16,3.36749062942518e-16,0.9999999999999996,-3.493245372723552e-16,1.7565296606087046e-16,-4.486917892269457e-16,6.488739303850297e-16,0.9999999999999998,9.13379831506707e-16,-9.412006204902712e-16,2.99834974469915e-16,1.7215848145766803e-16,-3.813900049497924e-16,-1.3348835234343419e-16,9.908320886509056e-38,5.81187408721832e-19,-2.980467451786665e-16,-1.4223588095554748e-16,-1.417854831256628e-17,0.5000000000000127,3.0262891675502073e-15,5.1166116150046865e-15,0.5000000000000002,-8.157451190424139e-17,0.5000000000000006,4.042666119366187e-36
10.4,5,7,Jump 2,T1-5->T7,0.0097566066352272,0.002783344294397,1.6329948654818297e-17,-2.8529736162571823e-16,1.4127436995625404e-16,5.920891615723543e-17,0.5000000000000023,-1.0888900936667424e-15,-2.070000180020933e-16,0.5000000000000012,-9.217624258606961e-16,0.4999999999999998,8.168516272040237e-34,-1.9845423712452793e-19,1.4409370424061365e-17,2.5540900273862113e-16,1.1066679791946439e-16,-3.32840303543857e-17,-1.4567559910291838e-17,-4.525081060635669e-18,-8.132071691052252e-17,-1.5348295648175805e-15,-5.985167884565228e-16,1.0000000000000002,1.4444015451437916e-16,5.775924826429472e-17,9.435466703328476e-17,1.0065113217611409e-15,4.0768994418863264e-17,0.9999999999999988,-7.596296844624444e-16,-3.098999979957451e-16,1.6408484074482962e-15,1.308035628327958e-15,1.0000000000000009,1.9676933747260184e-15,-5.410539293369461e-16,8.963057070221646e-16,3.7795514624795085e-16,8.918644165415023e-17,1.0676277159390167e-16,6.208973646575066e-38,3.6855786894555193e-19,-4.634448665787936e-17,-2.5260974057550437e-17,-2.485253612966448e-17,0.5000000000000133,-3.4377030669648408e-15,8.034170695409048e-16,0.5000000000000009,-2.8967009347464353e-16,0.5000000000000002,5.877440111374183e-37
10.4,6,8,Jump 2,T1-6->T8,0.0091334773635539,0.0028003430394771,2.1773264873091066e-17,1.366388256626807e-16,2.213319163438795e-17,3.4682717089765515e-16,0.4999999999999987,-1.0442149070097948e-16,-1.994481360553843e-15,0.5000000000000003,-5.937038321649344e-16,0.4999999999999978,2.0356588256004042e-34,-2.3389249375390794e-19,3.4058267048028793e-18,1.6805355225223884e-17,6.634445602584957e-17,1.0301444631275561e-16,-1.0150089984697021e-17,8.46877461432677e-18,-8.945468095114652e-18,-2.825740616375717e-16,-4.288152112686416e-16,0.9999999999999994,2.8790494978998e-17,-9.59203029013318e-17,-4.848671578987968e-16,8.261820659750573e-16,-1.1457340272567194e-16,1.0000000000000004,1.309805723776291e-15,8.26500785574192e-16,-1.0250594769279238e-15,2.1768478718992757e-18,1.0000000000000002,1.7767629223673538e-15,1.3556209609790108e-15,1.9961604972136107e-15,5.4335000154112285e-17,-7.706240909908403e-17,1.6532047144865207e-16,6.527066907061957e-38,1.7010363182102393e-19,-2.5273951161519076e-16,8.069207906473486e-17,1.718258131419316e-17,0.5000000000000173,1.6959353801497382e-15,4.154279354154493e-15,0.4999999999999999,-1.5975867603218816e-16,0.5000000000000011,2.3744255333460348e-36
10.4,1,4,Jump 3,T1-1->T4,0.01130396321507,0.0021002064752417,3.8103213527909364e-17,-2.9091784076158894e-16,-1.9923405239443712e-16,-9.527695342950737e-16,0.5000000000000016,1.6301477001282353e-15,4.842820648428919e-15,0.5000000000000001,-1.3605288505128214e-15,0.4999999999999986,1.0486229441292301e-33,8.788687644086236e-19,3.6120512271403376e-18,-2.1460743985601215e-16,2.9586829330822993e-16,3.798144631274142e-16,1.4097361374759771e-16,2.2100428498779748e-17,-5.752811539552452e-17,1.166161618110121e-15,-1.6823355367922528e-15,0.9999999999999984,-1.0160643092056898e-15,-1.206522119912502e-16,-5.648368974673093e-16,6.1511363328976335e-16,8.043781308813519e-16,0.999999999999999,3.066806458963233e-16,-7.543998827992455e-16,1.6595773216395093e-15,1.1116413412938364e-15,1.0000000000000009,8.185244499901135e-16,1.757232968265276e-15,-3.186465159162466e-16,-9.076592164887588e-16,-3.3109794948989904e-15,-7.541416770683016e-16,3.952217281163396e-37,1.0206217909261436e-18,-4.0945627081079555e-17,-2.5585919422600585e-16,-4.343801341288984e-17,0.5000000000000123,2.5749159515835026e-15,1.0708130022012357e-15,0.4999999999999993,8.684403995789234e-17,0.4999999999999988,1.2291250762481872e-35
10.4,2,5,Jump 3,T1-2->T5,0.0110459522575627,0.002330298752617,2.7216581091363832e-17,-7.361682320731025e-17,-6.007472487123692e-17,4.131030722532904e-16,0.5000000000000002,7.963260829890652e-16,-2.9424657611013416e-15,0.5000000000000016,-1.2365828247131446e-16,0.4999999999999988,4.9783411486476015e-34,-1.9845423712452793e-19,-3.601252334546084e-17,-1.908880702871796e-16,1.0275425876977734e-16,5.737908186966373e-17,-3.2804817493072476e-17,2.601270464604133e-18,2.3483530492635115e-16,1.2341912296067146e-15,-6.995624512785483e-16,0.9999999999999996,2.274533523127005e-16,-7.992381557096381e-17,-1.665899389341414e-16,7.935900315614829e-16,4.080550998625045e-16,1.0000000000000022,-3.59960227586885e-16,3.148564916059159e-16,3.187153922126672e-15,-1.808203977877791e-15,1.0000000000000009,-3.597169580226917e-15,2.061519868796539e-16,1.4495126694182065e-15,-1.112845083793453e-16,3.5309640978421407e-16,2.207783097417727e-16,1.2818468263429411e-37,6.5206392198059185e-19,6.555347204315201e-16,2.4963095761616978e-17,4.0263857955546485e-17,0.5000000000000064,1.6543170249744442e-15,-8.95463402790221e-17,0.4999999999999998,4.089697497874667e-17,0.5000000000000001,2.317805615151235e-36
10.4,3,6,Jump 3,T1-3->T6,0.0109457615579328,0.0024201458978925,2.1773264873091066e-17,2.9079107570506423e-19,9.050934150870551e-17,-7.736739421181835e-16,0.5000000000000003,9.088081426890913e-18,4.1985146945660946e-15,0.4999999999999993,6.655118809922905e-16,0.5,8.664787883644824e-34,-4.9613559281132e-19,7.068774205946209e-19,-4.3962024937926694e-16,1.2903016777622615e-16,-1.026784186612622e-16,-2.9613485940586846e-17,1.5012657853320444e-18,1.0766566609015612e-17,2.7471761487713745e-15,-5.544522712673219e-16,1.0000000000000002,1.8828172541816872e-16,-8.171405243444864e-17,2.8887550023356583e-16,1.7483348645847981e-15,-1.7566929738585909e-15,1.0000000000000004,3.214139205854802e-16,7.510250709955942e-16,-2.9917086843586116e-15,-7.127568449956858e-17,1.000000000000001,4.332897717416578e-15,-1.662986108709028e-15,1.6473361376003772e-15,-2.9899342590051936e-16,6.320671511259117e-16,2.809944978431043e-16,1.1351429432194328e-37,8.221675538016159e-19,-1.8619549575755215e-16,1.4244169740019183e-16,-2.0227369532838402e-18,0.4999999999999814,2.2488058206745e-15,-1.5634807109181958e-15,0.4999999999999992,-1.2471311358809693e-17,0.5000000000000002,3.813245011813937e-36
