position,x,y,z,rmse_vx,rmse_vy,rmse_vz,sample_count,mean_vx,mean_vy,mean_vz
"(-121, -28, 11)",-121,-28,11,0.0058456487,0.005397817,0.00400625,25,0.6156662,0.39247674,0.42114684
"(-117, -28, 11)",-117,-28,11,0.005530847,0.0047712727,0.0051095984,50,0.61611956,0.37218365,0.41904965
"(-113, -28, 11)",-113,-28,11,0.005023835,0.0039966833,0.0059106247,75,0.62005514,0.3532281,0.417651
"(-109, -28, 11)",-109,-28,11,0.0059904535,0.0042175814,0.006387318,100,0.6265597,0.3385454,0.41695595
"(-105, -28, 11)",-105,-28,11,0.0077499114,0.0058891955,0.0066099013,125,0.635139,0.3308752,0.41685286
"(-101, -28, 11)",-101,-28,11,0.008345578,0.006510131,0.006100925,125,0.6480443,0.3301106,0.4160043
"(-97, -28, 11)",-97,-28,11,0.008223762,0.00869093,0.0060961987,125,0.66182125,0.34057924,0.41613698
"(-93, -28, 11)",-93,-28,11,0.008731205,0.011780587,0.006641827,125,0.67440146,0.3616369,0.4170042
"(-89, -28, 11)",-89,-28,11,0.008736386,0.012733465,0.0073708147,125,0.68377244,0.3904268,0.41831574
"(-85, -28, 11)",-85,-28,11,0.0085385125,0.012661107,0.008299987,125,0.6880629,0.42215365,0.42003098
"(-81, -28, 11)",-81,-28,11,0.007779822,0.012315416,0.009091017,125,0.6866439,0.45100626,0.4220351
"(-78, -28, 11)",-78,-28,11,0.007388258,0.010482578,0.009614769,125,0.6799049,0.4725474,0.42435357
"(-74, -28, 11)",-74,-28,11,0.0074598426,0.0109068155,0.009628026,125,0.66885364,0.48312065,0.42681223
"(-70, -28, 11)",-70,-28,11,0.0068400763,0.011968698,0.009293963,125,0.65533036,0.4826482,0.42908192
"(-66, -28, 11)",-66,-28,11,0.0053971815,0.011380664,0.008742006,125,0.64191324,0.47436303,0.4306978
"(-62, -28, 11)",-62,-28,11,0.004244857,0.009729146,0.0082060965,125,0.63084155,0.46250382,0.43144193
"(-58, -28, 11)",-58,-28,11,0.0039379178,0.0078074615,0.007652465,125,0.6228479,0.45134452,0.43136695
"(-54, -28, 11)",-54,-28,11,0.004907217,0.0055255396,0.006954264,125,0.617652,0.44341996,0.43078983
"(-50, -28, 11)",-50,-28,11,0.006449607,0.0041557946,0.006054923,125,0.61450475,0.43881997,0.4303921
"(-46, -28, 11)",-46,-28,11,0.007532109,0.0035054837,0.005417246,125,0.6125972,0.43429217,0.4309214
"(-42, -28, 11)",-42,-28,11,0.0076819276,0.0059921844,0.005665482,125,0.61053103,0.4259439,0.43257433
"(-38, -28, 11)",-38,-28,11,0.0070611676,0.009340259,0.0064047687,125,0.60660154,0.41086128,0.43500978
"(-34, -28, 11)",-34,-28,11,0.0066328286,0.0104187485,0.006667957,125,0.59880483,0.38789037,0.43703663
"(-30, -28, 11)",-30,-28,11,0.0072234883,0.01064416,0.0070834714,125,0.5861044,0.36080793,0.43672153
"(-26, -28, 11)",-26,-28,11,0.009868797,0.008964656,0.009034444,125,0.569124,0.33624333,0.43328267
"(-22, -28, 11)",-22,-28,11,0.012243964,0.010798057,0.011713059,125,0.54838055,0.32178503,0.42614642
"(-18, -28, 11)",-18,-28,11,0.012572448,0.016535187,0.013519813,125,0.5265445,0.3236239,0.4159823
"(-14, -28, 11)",-14,-28,11,0.012835592,0.02033009,0.014684265,125,0.5076097,0.34334442,0.40481874
"(-10, -28, 11)",-10,-28,11,0.01240944,0.020360673,0.015549125,125,0.49468243,0.37676945,0.3952245
"(-6, -28, 11)",-6,-28,11,0.011955153,0.017496832,0.015718875,125,0.49000922,0.41681132,0.38938972
"(-2, -28, 11)",-2,-28,11,0.01279271,0.013122781,0.015493028,125,0.49499124,0.45629668,0.38868004
"(2, -28, 11)",2,-28,11,0.014289757,0.009265173,0.014195425,125,0.50841844,0.48619723,0.392306
"(6, -28, 11)",6,-28,11,0.014679204,0.008621111,0.011920604,125,0.5270868,0.50100565,0.3983309
"(10, -28, 11)",10,-28,11,0.013714311,0.00935379,0.009203283,125,0.5459614,0.50114846,0.40459356
"(14, -28, 11)",14,-28,11,0.011936089,0.008330628,0.0069907666,125,0.5618509,0.4918032,0.40953314
"(18, -28, 11)",18,-28,11,0.010157054,0.0064207693,0.005749303,125,0.5732295,0.4790162,0.41302148
