file,rows,cols,mae_mean_norm,mae_p95_norm,rmse_mean_norm,rmse_global_norm,mae_mean_raw,mae_median_raw,mae_std_raw,mae_p95_raw,rmse_mean_raw,rmse_median_raw,rmse_std_raw,rmse_p95_raw,rmse_global_raw,max_abs_err_raw,path
0977.pkl.gz,26448,375,0.0006755285430699587,0.0013258550316095352,0.000882055435795337,0.0009874988437789986,0.0003116510633844882,0.00026324999635107815,0.00015893553791102022,0.000611675379332155,0.0004069310089107603,0.0003455020487308502,0.00020483555272221565,0.000792728504166007,0.0004555768563919489,0.00599168986082077,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/11p4/0977.pkl.gz
1152.pkl.gz,26448,375,0.0003964578208979219,0.0007650452316738665,0.0005160002619959414,0.0005704049529787359,0.00018290344451088458,0.00017232319805771112,8.701509796082973e-05,0.00035294893314130604,0.0002380536316195503,0.00022551101574208587,0.00011216029815841466,0.0004570425080601126,0.0002631529068709202,0.0033206045627593994,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/5p2/1152.pkl.gz
0356.pkl.gz,26448,375,0.0004342990869190544,0.0008205783669836819,0.0005657771253027022,0.0006282907482904936,0.00020036128989886492,0.00018909813661593944,9.770617907634005e-05,0.00037856888957321644,0.00026101787807419896,0.00024697440676391125,0.00012604535731952637,0.0004905845853500068,0.000289858227129863,0.00395594909787178,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/5p2/0356.pkl.gz
0214.pkl.gz,26448,375,0.000630242982879281,0.0012083513429388404,0.0008226101635955274,0.0009198533610855637,0.0002907588495872915,0.0002588578499853611,0.0001481618674006313,0.00055746576981619,0.0003795062657445669,0.00034069386310875416,0.00018990521493833512,0.000720786105375737,0.00042436879641156576,0.005349896848201752,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p8/0214.pkl.gz
0834.pkl.gz,26448,375,0.0003489383962005377,0.0006302859401330352,0.00045615615090355277,0.0004987233717039565,0.00016098064952529967,0.0001500422804383561,7.169593300204724e-05,0.00029077858198434114,0.00021044490858912468,0.0001961290545295924,9.301170939579606e-05,0.00037864697515033185,0.0002300831395736653,0.003454865887761116,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/4p6/0834.pkl.gz
1105.pkl.gz,26448,375,0.0005295093287713826,0.0009921500459313393,0.0006902843597345054,0.0007625977674919594,0.00024428596952930093,0.0002258333406643942,0.00011614948743954301,0.0004577224899549037,0.0003184585948474705,0.0002954057708848268,0.00014953751815482974,0.0005937516107223928,0.0003518199387797683,0.0055662766098976135,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/6p6/1105.pkl.gz
1190.pkl.gz,26448,375,0.0006560771143995225,0.0011502131819725037,0.0008566929609514773,0.000932217223564807,0.0003026772174052894,0.00028940505580976605,0.0001321941235801205,0.0005306439707055688,0.00039523019222542644,0.00038001255597919226,0.00016957495245151222,0.0006864088936708868,0.00043007278648993496,0.005666755139827728,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/8p4/1190.pkl.gz
1200.pkl.gz,26448,375,0.000652519753202796,0.0012080633314326406,0.0008527323952876031,0.0009302271714322777,0.00030103608150966465,0.00026561145205050707,0.00013499964552465826,0.0005573327653110027,0.0003934029955416918,0.0003501495812088251,0.00017148723418358713,0.0007185383001342416,0.0004291546841444488,0.005453020334243774,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/11p4/1200.pkl.gz
0997.pkl.gz,26448,375,0.000633910414762795,0.0010959517676383257,0.0008265923825092614,0.0008944079077208729,0.00029245077166706324,0.0002821322123054415,0.0001230842899531126,0.0005056107183918357,0.00038134344504214823,0.0003683758550323546,0.00015760891255922616,0.0006520595634356141,0.00041262996791036673,0.00629761815071106,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p8/0997.pkl.gz
0776.pkl.gz,26448,375,0.0007218927494250238,0.0013140103546902537,0.0009412695653736591,0.001030419061164985,0.0003330408944748342,0.000312258955091238,0.00015097347204573452,0.0006062109023332596,0.0004342491156421602,0.0004085648397449404,0.00019342079758644104,0.0007821094477549195,0.00047537772534036316,0.005149528384208679,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/8p4/0776.pkl.gz
0312.pkl.gz,26448,375,0.00019179242372047156,0.00034136362955905497,0.00024887919425964355,0.00027084477822666433,8.84822802618146e-05,7.885511149652302e-05,3.851971632684581e-05,0.0001574860798427835,0.00011481891851872206,0.00010293445666320622,4.929267743136734e-05,0.00020341749768704176,0.00012495258343755118,0.0014548636972904205,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/3p6/0312.pkl.gz
0235.pkl.gz,26448,375,0.0007738176500424743,0.0014426634879782796,0.001010991632938385,0.0011215786732549993,0.00035699611180461943,0.00033206725493073463,0.00017342442879453301,0.0006655642064288259,0.0004664149309974164,0.00043328822357580066,0.00022404130140785128,0.0008680670289322734,0.0005174331910027936,0.006587356328964233,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/8p4/0235.pkl.gz
1072.pkl.gz,26448,375,0.0006041211308911443,0.001155378413386643,0.0007877848693169653,0.0008659001415858239,0.000278707651887089,0.0002582025481387973,0.00012992635311093181,0.000533027108758688,0.00036343984538689256,0.00033901745337061584,0.0001658135442994535,0.0006867541815154254,0.0003994779598869929,0.005466073751449585,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p8/1072.pkl.gz
0327.pkl.gz,26448,375,0.0006980584585107863,0.0014276078436523676,0.0009110026294365525,0.0010314707481818529,0.0003220450889784843,0.00027418890385888517,0.00017310635303147137,0.0006586184026673436,0.00042028562165796757,0.00035920925438404083,0.00022317166440188885,0.0008521525305695832,0.0004758629831502309,0.006914049386978149,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/11p4/0327.pkl.gz
0726.pkl.gz,26448,375,0.000610547314863652,0.001308213104493916,0.0007962715462781489,0.0009065426850930371,0.0002816723135765642,0.000235487095778808,0.00015513476682826877,0.000603536085691303,0.0003673550672829151,0.00030796817736700177,0.00019991205772385,0.0007821896579116583,0.0004182280516249429,0.0060193524695932865,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/11p4/0726.pkl.gz
0409.pkl.gz,26448,375,0.000737928319722414,0.0013576634228229523,0.0009649863350205123,0.0010643429431534063,0.00034043879713863134,0.00031499401666224003,0.00016148763825185597,0.0006263498798944056,0.00044519067159853876,0.0004142668913118541,0.0002071568014798686,0.000810246798209846,0.0004910280560116734,0.006339555606245995,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p8/0409.pkl.gz
1126.pkl.gz,26448,375,0.000634928175713867,0.0011889897286891937,0.0008270636899396777,0.000908042065818565,0.0002929203037638217,0.0002727006212808192,0.00013472272257786244,0.0005485332803800702,0.00038156085065566003,0.0003558462194632739,0.00017293094424530864,0.0007109982543624938,0.0004189198977856849,0.005317650735378265,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p2/1126.pkl.gz
1069.pkl.gz,26448,375,0.0006088788504712284,0.0012031150981783867,0.0007954633329063654,0.0008884569741693164,0.0002809026336763054,0.00024176992883440107,0.0001423360372427851,0.0005550498608499765,0.0003669822763185948,0.00031830978696234524,0.0001825623185141012,0.0007169262389652431,0.0004098838896058509,0.005396835505962372,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/11p4/1069.pkl.gz
0682.pkl.gz,26448,375,0.0006896312115713954,0.0012454262468963861,0.0009013969101943076,0.0009806994616340405,0.0003181571955792606,0.0003062186879105866,0.00013797509018331766,0.0005745699163526297,0.00041585403960198164,0.0003997578751295805,0.00017823358939494938,0.0007513754535466433,0.00045243993081227866,0.00716882199048996,/Users/kkreth/PycharmProjects/data/Final_Cubed_OG_Data_wLatent/7p2/0682.pkl.gz
