mass_A
t	x	y
7.133333333E0	4.874588807E1	5.093808670E1
7.150000000E0	4.874626188E1	5.093551922E1
7.166666667E0	4.874706403E1	5.093067651E1
7.183333333E0	4.874665613E1	5.092908024E1
7.200000000E0	4.874661357E1	5.092967598E1
7.216666667E0	4.874741593E1	5.092870344E1
7.233333333E0	4.874732096E1	5.092865370E1
7.250000000E0	4.874619523E1	5.093247171E1
7.266666667E0	4.874620536E1	5.093454340E1
7.283333333E0	4.874413238E1	5.094207176E1
7.300000000E0	4.874404296E1	5.094707136E1
7.316666667E0	4.874192883E1	5.095271991E1
7.333333333E0	4.874196056E1	5.096112945E1
7.350000000E0	4.874079820E1	5.096284984E1
7.366666667E0	4.874174117E1	5.097141079E1
7.383333333E0	4.874090396E1	5.097951640E1
7.400000000E0	4.873715991E1	5.099530102E1
7.416666667E0	4.873711711E1	5.102158035E1
7.433333333E0	4.875038758E1	5.105736290E1
7.450000000E0	4.874626286E1	5.109573879E1
7.466666667E0	4.874368434E1	5.111023158E1
7.483333333E0	4.873988328E1	5.112393830E1
7.500000000E0	4.873775182E1	5.114253547E1
7.516666667E0	4.873500342E1	5.115815363E1
7.533333333E0	4.874995861E1	5.121237445E1
7.550000000E0	4.874549438E1	5.124920167E1
7.566666667E0	4.873979863E1	5.127534315E1
7.583333333E0	4.873969998E1	5.129031829E1
7.600000000E0	4.873430863E1	5.131201311E1
7.616666667E0	4.874978357E1	5.137350243E1
7.633333333E0	4.874215641E1	5.142073460E1
7.650000000E0	4.873853852E1	5.144319504E1
7.666666667E0	4.873561898E1	5.146574923E1
7.683333333E0	4.873223571E1	5.150207669E1
7.700000000E0	4.874364384E1	5.157150380E1
7.716666667E0	4.873902420E1	5.160076232E1
7.733333333E0	4.873435309E1	5.162189182E1
7.750000000E0	4.873201002E1	5.168288720E1
7.766666667E0	4.874102926E1	5.173278029E1
7.783333333E0	4.873724280E1	5.177224032E1
7.800000000E0	4.873342279E1	5.179733634E1
7.816666667E0	4.874324808E1	5.188208908E1
7.833333333E0	4.873906610E1	5.192176324E1
7.850000000E0	4.873577805E1	5.194708298E1
7.866666667E0	4.874515627E1	5.201016720E1
7.883333333E0	4.873984903E1	5.207299892E1
7.900000000E0	4.873349878E1	5.210291447E1
7.916666667E0	4.874414465E1	5.217629106E1
7.933333333E0	4.873791816E1	5.223751785E1
7.950000000E0	4.873512864E1	5.226562587E1
7.966666667E0	4.874221648E1	5.233856918E1
7.983333333E0	4.873710108E1	5.239995151E1
8.000000000E0	4.873120094E1	5.242922473E1
8.016666667E0	4.873986680E1	5.250756291E1
8.033333333E0	4.873545201E1	5.256623565E1
8.050000000E0	4.872966373E1	5.259590089E1
8.066666667E0	4.873731579E1	5.268452440E1
8.083333333E0	4.873252467E1	5.273394035E1
8.100000000E0	4.872748968E1	5.277436185E1
8.116666667E0	4.873768391E1	5.286464430E1
8.133333333E0	4.873214488E1	5.290329048E1
8.150000000E0	4.872478788E1	5.295598392E1
8.166666667E0	4.873666804E1	5.303061140E1
8.183333333E0	4.873098606E1	5.307045277E1
8.200000000E0	4.874100397E1	5.315042944E1
8.216666667E0	4.873307293E1	5.321190115E1
8.233333333E0	4.872694479E1	5.324742806E1
8.250000000E0	4.873689264E1	5.333911114E1
8.266666667E0	4.872962999E1	5.337960918E1
8.283333333E0	4.872561129E1	5.342484637E1
8.300000000E0	4.873524673E1	5.351266060E1
8.316666667E0	4.872973097E1	5.354789122E1
8.333333333E0	4.872340941E1	5.360454729E1
8.350000000E0	4.873285554E1	5.368217012E1
8.366666667E0	4.872706780E1	5.372385869E1
8.383333333E0	4.873656819E1	5.380260384E1
8.400000000E0	4.873049641E1	5.386049526E1
8.416666667E0	4.872599533E1	5.389513907E1
8.433333333E0	4.873489835E1	5.398563119E1
8.450000000E0	4.872965770E1	5.402694281E1
8.466666667E0	4.872292089E1	5.407490252E1
8.483333333E0	4.873349230E1	5.415959800E1
8.500000000E0	4.872735019E1	5.418901737E1
8.516666667E0	4.872202218E1	5.424777369E1
8.533333333E0	4.873237167E1	5.432637981E1
8.550000000E0	4.872838243E1	5.435516008E1
8.566666667E0	4.872145131E1	5.441042327E1
8.583333333E0	4.873306525E1	5.448763679E1
8.600000000E0	4.872726949E1	5.451679932E1
8.616666667E0	4.872163296E1	5.457833966E1
8.633333333E0	4.873181827E1	5.464675361E1
8.650000000E0	4.872594607E1	5.467722926E1
8.666666667E0	4.872050003E1	5.472569863E1
8.683333333E0	4.872997642E1	5.479382476E1
8.700000000E0	4.872945051E1	5.483056993E1
8.716666667E0	4.872334286E1	5.485880570E1
8.733333333E0	4.873337250E1	5.494932657E1
8.750000000E0	4.873181345E1	5.498011202E1
8.766666667E0	4.872372098E1	5.501027252E1
8.783333333E0	4.871937431E1	5.506328459E1
8.800000000E0	4.873117626E1	5.511623146E1
8.816666667E0	4.872849375E1	5.515128393E1
8.833333333E0	4.872201624E1	5.517242335E1
8.850000000E0	4.873192499E1	5.524534447E1
8.866666667E0	4.873027755E1	5.528842371E1
8.883333333E0	4.872475573E1	5.531269375E1
8.900000000E0	4.872277041E1	5.532633251E1
8.916666667E0	4.871838782E1	5.536875447E1
8.933333333E0	4.873159265E1	5.542289882E1
8.950000000E0	4.873205877E1	5.545772971E1
8.966666667E0	4.872652100E1	5.547047681E1
8.983333333E0	4.872595415E1	5.548807550E1
9.000000000E0	4.871849233E1	5.551857641E1
9.016666667E0	4.871717081E1	5.554868134E1
9.033333333E0	4.873247120E1	5.559086631E1
9.050000000E0	4.872659232E1	5.562150909E1
9.066666667E0	4.872854393E1	5.563262348E1
9.083333333E0	4.872567726E1	5.564147213E1
9.100000000E0	4.872205402E1	5.565584180E1
9.116666667E0	4.872038924E1	5.567491106E1
9.133333333E0	4.871696096E1	5.569337880E1
9.150000000E0	4.873401259E1	5.573032831E1
9.166666667E0	4.872988724E1	5.576549803E1
9.183333333E0	4.872917551E1	5.577140744E1
9.200000000E0	4.872878914E1	5.577801314E1
9.216666667E0	4.872799577E1	5.578329145E1
9.233333333E0	4.872740019E1	5.579018551E1
9.250000000E0	4.872644463E1	5.579442565E1
9.266666667E0	4.872498515E1	5.579690788E1
9.283333333E0	4.872491178E1	5.579951862E1
9.300000000E0	4.872430409E1	5.580104460E1
9.316666667E0	4.872452775E1	5.580226302E1
9.333333333E0	4.872367762E1	5.580439625E1
9.350000000E0	4.872378184E1	5.580399771E1
9.366666667E0	4.872410318E1	5.580318134E1
9.383333333E0	4.872418745E1	5.580323722E1
9.400000000E0	4.872513892E1	5.580037890E1
9.416666667E0	4.872562641E1	5.579711823E1
9.433333333E0	4.872568983E1	5.579307089E1
9.450000000E0	4.872733199E1	5.578857752E1
9.466666667E0	4.872694990E1	5.578306070E1
9.483333333E0	4.872916031E1	5.577375746E1
9.500000000E0	4.873129407E1	5.575833140E1
9.516666667E0	4.873339106E1	5.574912769E1
9.533333333E0	4.873426299E1	5.572778450E1
9.550000000E0	4.871888504E1	5.569432412E1
9.566666667E0	4.872356370E1	5.566440405E1
9.583333333E0	4.872512398E1	5.564230607E1
9.600000000E0	4.872782724E1	5.563079551E1
9.616666667E0	4.873102798E1	5.561860698E1
9.633333333E0	4.873128712E1	5.559674618E1
9.650000000E0	4.873449480E1	5.556542503E1
9.666666667E0	4.872258275E1	5.550194634E1
9.683333333E0	4.872467253E1	5.548259077E1
9.700000000E0	4.872934169E1	5.546395185E1
